FEED (F),N1,N2,NF1,NF2,RR1,RR2,BF1,BF2,Y
2927.65039,32,77,5,29,0.765348026,1.76583391,0.808299767,0.058656664,2366.419128
2512.72898,28,88,3,43,3.54338608,1.07987562,0.623701986,0.042842497,1567.194055
3217.99859,29,64,9,40,3.17996827,3.81884478,0.715094899,0.069207282,2301.174377
2562.91751,20,31,13,22,1.50439232,2.52063969,0.839394389,0.271004192,2151.298577
3179.78395,29,61,6,42,3.18248124,3.52728216,0.637975713,0.03822466,2028.624933
2479.37552,21,39,12,34,1.37969409,1.5588361,0.625248939,0.192657559,1550.226913
3083.69305,32,67,10,28,1.83353941,0.636600937,0.867844144,0.268814169,2676.164955
1530.619,27,35,14,33,0.494966432,0.881965935,0.888788054,0.269627742,1360.395882
2385.92048,23,48,8,35,3.76102723,4.12133372,0.852601566,0.103850807,2034.239538
3409.39989,28,61,8,28,4.39385053,2.83572152,0.852911494,0.188054259,2907.916354
3358.32376,29,82,11,46,0.593868939,3.15855831,0.85335119,0.288694343,2865.829577
1718.63422,12,92,6,17,0.534687532,3.17111243,0.893088696,0.195480313,1534.892794
1912.6036,28,50,6,44,0.998846798,1.5437428,0.892091085,0.124292947,1706.216621
2205.81612,26,30,12,20,1.11277571,2.13571949,0.900066028,0.074154314,1985.380154
1538.84909,26,40,11,19,2.97985096,0.425867638,0.834797851,0.042684059,1284.627913
3449.3479,23,61,10,28,4.02864321,4.13459531,0.641101742,0.050972491,2211.382947
2715.58614,31,87,6,39,3.32483079,1.68019599,0.728164091,0.156777594,1977.392313
2230.36808,10,47,4,35,1.0003856,2.88463473,0.794553268,0.08044656,1772.146247
2045.66367,33,53,16,25,0.221093877,3.37996698,0.583273183,0.19125686,1193.18076
2112.24389,25,32,6,22,0.407690943,1.65806254,0.924453977,0.156471239,1952.672265
1907.15133,18,57,11,44,1.4496189,2.45206724,0.710406971,0.108391884,1354.8536
1637.25724,30,50,7,18,2.60571897,3.02757988,0.726073201,0.094342648,1188.768605
3071.67168,27,51,12,47,4.34936818,1.99068301,0.730888038,0.124985531,2245.048088
1785.32718,24,73,7,33,1.01302867,2.98723993,0.587516047,0.038740808,1048.908367
1692.37465,31,81,11,45,4.57929814,2.84175882,0.900347568,0.125744501,1523.7254
1876.951,25,80,3,39,2.54639261,4.02226695,0.880394239,0.142950053,1652.456847
2463.28578,23,84,9,36,4.42639433,2.32796349,0.630460639,0.22919916,1553.004727
2665.76556,16,56,7,14,1.81758202,1.07570756,0.637865734,0.056718473,1700.400506
2938.85761,29,90,14,25,1.35085563,2.84732667,0.845907674,0.080640499,2486.002205
2536.65353,16,46,13,42,0.241931001,3.11671159,0.791762209,0.062684569,2008.426402
3201.30105,32,63,7,21,4.34607102,3.20794122,0.728939102,0.259579972,2333.553513
2660.48499,24,54,5,37,1.67618977,3.42115473,0.822190159,0.27061674,2187.424577
2446.16475,32,80,8,20,2.90459768,4.17710178,0.646886517,0.086898346,1582.390995
2107.19582,32,62,7,41,1.7125402,0.656989847,0.625840044,0.077835007,1318.767525
3313.42115,33,50,13,26,4.26760656,1.73424531,0.686111011,0.112622138,2273.374735
3314.34037,12,57,4,14,0.800542401,2.16861104,0.839665272,0.122589738,2782.936508
2227.926,25,74,3,13,2.70469644,3.10340222,0.909349477,0.205377154,2025.963343
3056.57129,16,50,11,22,3.99057425,4.20481721,0.636906053,0.039587995,1946.748756
2283.35639,23,37,7,18,1.94007484,0.769284872,0.8573088,0.164173662,1957.541527
2509.45158,25,77,9,30,2.41747822,2.15848921,0.640292933,0.034782797,1606.784112
2932.71152,32,56,11,40,3.09754928,0.498082688,0.633852765,0.212535143,1858.907306
3369.81301,23,90,8,25,0.949032123,1.90010217,0.622859504,0.066017787,2098.92006
1666.65661,28,47,5,43,1.73433072,0.166083292,0.819589249,0.041226056,1365.973839
1985.10303,22,70,15,49,3.59444192,4.24071654,0.553071962,0.276872288,1097.904828
2944.5776,20,98,6,23,2.81739194,1.82217889,0.656270478,0.056666025,1932.439349
3034.81139,26,87,4,34,0.489171184,0.73714291,0.847298515,0.06129694,2571.391184
3061.75888,15,91,6,49,0.202357798,2.53943435,0.845504373,0.033215548,2588.730522
2611.66191,19,58,5,33,3.41000752,2.67667315,0.644949573,0.211758629,1684.390234
1708.70694,28,91,14,30,0.226657878,4.16792337,0.703664271,0.081167108,1202.356023
1679.47893,26,84,11,44,0.575476518,2.41371753,0.83312581,0.271655937,1399.217244
3051.44221,31,96,7,31,3.13607598,2.81642193,0.835246956,0.106614031,2548.707817
3256.58006,23,60,15,43,2.09845931,3.04438497,0.584939078,0.065540993,1904.900938
1602.91998,25,86,5,40,2.85735538,2.59568315,0.640718035,0.073717885,1027.01974
2754.27374,22,86,8,28,0.150540664,2.34855613,0.585314566,0.058432275,1612.116539
2290.89114,33,82,14,19,1.70814931,4.45747583,0.851777748,0.088751403,1951.330096
3379.03917,30,87,15,33,0.512683116,0.568863427,0.833902442,0.178801914,2817.789015
1622.7479,12,38,9,33,0.47303493,1.96131074,0.594110568,0.093864223,964.0916766
2418.56834,10,67,9,30,0.205310072,0.659221263,0.813943953,0.105204946,1968.579075
1731.17169,18,31,15,21,2.76976391,4.01957777,0.564182194,0.209592418,976.6962423
2988.19857,27,45,16,23,2.96948937,3.8293472,0.63481873,0.103355764,1896.964421
2397.00945,19,42,13,33,0.244458308,2.87284915,0.778494552,0.26715987,1866.058798
2410.49328,27,50,6,14,0.469831158,0.933256745,0.914095047,0.215056545,2203.419968
3294.42291,33,64,9,44,3.74966097,2.77691682,0.855963593,0.11544184,2819.906071
2551.04715,23,67,13,21,3.56745119,0.560394992,0.592779736,0.03862537,1512.209056
2288.25325,17,95,7,46,1.01460317,3.36757217,0.908108195,0.060831434,2077.981529
2420.01006,25,75,3,22,4.30698239,1.54993475,0.888450751,0.117399951,2150.059755
2444.69946,20,49,11,24,0.158352524,1.63920335,0.832926954,0.03439621,2036.256075
1852.04374,21,70,9,47,2.34286335,1.44041394,0.850178354,0.248938151,1574.567498
2761.4515,18,99,10,18,0.859621768,1.33358644,0.598480061,0.179105145,1652.673662
2313.62488,12,76,8,22,0.82354302,4.06829538,0.737909649,0.106447829,1707.246123
3094.38503,30,64,13,34,0.451802318,0.59799095,0.835047724,0.249947261,2583.959176
2194.86371,32,95,6,43,2.48855588,4.38014672,0.81626547,0.085169833,1791.591458
2460.45067,16,61,10,39,0.275523592,3.97064316,0.776933343,0.292600615,1911.606164
3140.98351,31,92,5,23,3.51089845,2.34525111,0.825798706,0.09949605,2593.820118
2804.67521,16,54,11,28,1.81655059,0.741683769,0.65680474,0.13249832,1842.123972
2087.00519,27,43,15,13,0.750084848,3.32755694,0.621029822,0.196287131,1296.092462
1715.69686,29,70,17,17,3.15710833,1.91428214,0.61352176,0.041820864,1052.617357
3438.05255,30,67,11,23,3.12382317,0.196424714,0.570025391,0.125114077,1959.777249
3233.0957,32,87,3,29,1.07411495,3.09895539,0.830463378,0.158027923,2684.967576
1617.38061,29,46,10,42,0.199543526,0.765260752,0.789255399,0.099180888,1276.526379
2379.59302,29,48,10,17,0.509608262,3.4268645,0.599146258,0.20443554,1425.724253
3284.32145,16,66,14,46,2.69655151,2.04595379,0.718657238,0.111939432,2360.301382
3179.50142,23,63,14,49,0.20341381,0.859208371,0.924571881,0.028068781,2939.677609
2331.64009,25,56,14,23,0.295375506,0.778847601,0.675020365,0.171007346,1573.904545
2623.44209,29,66,12,27,1.41893683,3.25751201,0.859148285,0.24818894,2253.925772
2909.58902,17,58,8,33,0.238856242,0.973016135,0.646273911,0.163365706,1880.391475
3208.28322,21,81,4,41,4.3911516,2.50578453,0.849577374,0.242442078,2725.684833
3281.44266,27,34,13,22,0.957266301,2.11198002,0.873281161,0.207543498,2865.622056
1745.82327,28,83,6,50,3.58264323,3.03251761,0.877059978,0.281017817,1531.191719
1917.32693,13,35,5,25,3.87413303,0.607386443,0.871938272,0.254096504,1671.79073
2786.63217,30,97,11,16,3.77826497,2.85892725,0.583610985,0.102933455,1626.309146
1893.86483,29,87,6,45,1.83746278,1.60829634,0.85636325,0.05729343,1621.836241
1995.44283,26,89,8,48,0.192837073,4.37626837,0.8107142,0.036080987,1617.733838
3278.17721,15,79,11,49,3.93516836,3.47150497,0.594883098,0.181706896,1950.132214
2161.4456,31,93,5,29,0.775950947,1.82103644,0.655222746,0.097349782,1416.228321
3297.4339,28,88,10,17,3.6392305,3.1458583,0.699871458,0.176715859,2307.779871
3229.59677,22,80,12,42,2.43882179,3.90645275,0.59411436,0.139964027,1918.749818
2830.19544,29,88,13,25,3.76158331,2.22210991,0.846527854,0.235264595,2395.839272
3129.07635,22,53,8,29,0.282824368,0.435841679,0.863853457,0.259044776,2703.063422
2252.52892,13,82,6,39,1.56657157,0.309927909,0.796240517,0.052058629,1793.554792
3276.15426,23,54,11,35,2.55831894,2.57715494,0.720513338,0.138243936,2360.512842
1966.83493,25,51,9,20,3.365332,2.97214795,0.864104907,0.266420035,1699.551714
2281.31662,25,84,9,16,3.72825658,1.07725667,0.694217346,0.240409155,1583.729569
3271.8095,17,44,11,31,1.66726499,2.90777863,0.894697089,0.179635751,2927.278435
3347.04347,26,73,7,44,0.704350014,3.50911072,0.619522346,0.072915164,2073.568223
2137.63711,21,52,14,38,0.21828643,2.20721059,0.891987757,0.067617663,1906.746131
1965.18291,29,92,14,16,0.163077668,3.94165037,0.674315152,0.2009204,1325.152613
2625.86546,29,55,15,49,0.331595462,1.3281219,0.912847233,0.078447848,2397.014019
1637.84022,17,55,13,21,0.213714712,2.86764204,0.919991204,0.03309358,1506.798596
1818.40707,25,33,9,14,0.571894034,1.41544232,0.812065502,0.093307365,1476.66565
2546.952,27,80,3,29,4.07405394,1.95439721,0.698634014,0.285522571,1779.387299
3225.21289,31,48,7,28,2.72751528,2.64710714,0.717026471,0.288994519,2312.563017
1927.60397,13,45,10,39,0.628872525,3.63442289,0.762846941,0.146141509,1470.466792
2696.09181,24,83,14,16,4.59307529,4.58665248,0.573243713,0.173695563,1545.51768
3126.87804,24,56,11,37,1.41534693,2.49741306,0.87849969,0.288523872,2746.961389
1790.74045,31,85,4,49,1.69346617,3.87225569,0.714569475,0.031734025,1279.608463
3261.73642,24,89,14,16,0.263312112,0.561813163,0.571465117,0.047240383,1863.968585
2718.48303,13,40,10,13,1.33965893,3.01598137,0.766848953,0.085538284,2084.665865
2947.28373,11,39,7,23,3.89358754,0.237723009,0.730918755,0.177811001,2154.224955
3476.78067,25,58,7,34,3.19532721,2.82894302,0.632394548,0.041016263,2198.69714
3362.85042,24,80,6,17,1.28671437,4.08697883,0.725506466,0.27814436,2439.769724
1880.36007,20,83,17,47,0.356057502,0.273474886,0.717865134,0.089639233,1349.844934
2369.89707,26,90,5,16,2.11560369,2.77943929,0.780253948,0.128864843,1849.121545
1838.03055,28,38,6,25,0.311084283,2.46216784,0.746512111,0.058270857,1372.112066
2345.85797,19,41,11,32,2.28613222,3.0222053,0.87827389,0.090228476,2060.305805
1554.06007,19,91,12,29,1.45711349,0.984813754,0.857912887,0.069348171,1333.248161
3178.71281,27,64,8,25,3.29368424,2.29186759,0.858649431,0.200574509,2729.399946
2024.04866,32,55,16,43,1.65547493,0.245077042,0.581063581,0.070585249,1176.100962
2503.70937,31,59,5,24,1.07622896,0.223649229,0.852935279,0.063330264,2135.50205
1947.1403,32,93,11,27,2.09383221,0.209422152,0.556921599,0.153857296,1084.404489
3360.31955,22,31,13,15,1.89245456,2.03616554,0.779365301,0.05045791,2618.916458
3267.06444,29,85,8,42,4.59118703,0.86771731,0.848969857,0.186812669,2773.63923
1822.07661,18,57,7,20,4.24140198,1.76388127,0.727144184,0.04360983,1324.91241
1664.0682,15,29,13,22,0.739295708,1.69441169,0.740359906,0.219697349,1232.009376
2739.6248,30,73,6,21,0.226512361,2.93775917,0.772875694,0.057374294,2117.389419
2383.77066,28,85,15,33,3.95530427,2.19560149,0.782774811,0.285041055,1865.955628
2249.83914,30,73,12,20,1.15109444,0.20561231,0.89774362,0.206055444,2019.778734
2196.54195,20,47,11,41,0.231516309,4.07063235,0.854702785,0.140069947,1877.390522
3139.92894,27,50,15,15,2.16852492,1.8189588,0.623157827,0.052863056,1956.671295
2517.0492,28,100,10,30,1.06817172,0.588113511,0.612413685,0.168680646,1541.475376
2364.55194,33,80,15,36,2.83407511,0.899460727,0.685843233,0.091691712,1621.711947
1999.11259,15,83,10,37,2.9906156,2.5603691,0.791129337,0.138006388,1581.556618
3281.46517,27,95,5,25,2.31629455,2.35517705,0.736173654,0.199033616,2415.728205
2042.85526,29,82,5,33,1.24855005,1.74745814,0.847605314,0.076386436,1731.534974
1708.74108,21,39,6,33,4.25435315,1.5113243,0.85157882,0.058713511,1455.127713
1935.29316,32,44,4,20,3.39837532,3.62910656,0.645416715,0.093720375,1249.070554
3132.53592,31,48,3,24,4.38084972,0.91693351,0.634329657,0.074961128,1987.060436
3362.91677,24,49,8,40,3.58923904,0.528949537,0.598392994,0.202651208,2012.345835
2228.80967,32,75,5,20,2.57719164,0.835200681,0.865358328,0.2009106,1928.719009
1967.98085,17,58,4,15,2.26725099,3.97147539,0.821117255,0.17107955,1615.943033
2872.70947,23,75,4,24,1.23463866,2.75202742,0.87951391,0.189985912,2526.587938
2531.0657,31,63,16,47,2.50891326,3.82675281,0.880033451,0.274011164,2227.422483
2158.43998,23,75,10,30,0.785336737,1.49068295,0.58014772,0.188258467,1252.214033
2004.27259,29,95,13,29,2.18676509,3.95694566,0.631750954,0.045239146,1266.201121
2174.6242,14,76,3,27,4.55416628,1.85636969,0.614096285,0.077748774,1335.428642
1668.18204,26,98,8,16,4.08078974,1.70542663,0.856751459,0.054894558,1429.217397
1831.76794,25,83,3,42,1.06024831,0.425238985,0.700176453,0.04764878,1282.560779
3429.49135,30,78,14,24,4.41850448,2.47660918,0.725530237,0.201801115,2488.199672
2245.64424,22,100,9,39,2.1002338,0.572486418,0.554156845,0.212281484,1244.439127
2162.89889,28,79,6,27,2.53724156,1.74317019,0.700737809,0.078577639,1515.625029
1687.36968,32,89,13,46,4.44492805,2.84037492,0.673182811,0.115683698,1135.908264
3111.15637,20,64,15,33,2.2626038,2.57969509,0.904476569,0.159117034,2813.968039
2573.38826,27,43,11,37,2.07795179,3.95709487,0.682802098,0.121639224,1757.114903
2844.7129,29,78,10,30,0.506228051,1.95851081,0.811396736,0.03771874,2308.190762
3467.23078,26,69,15,49,2.56146015,2.83466026,0.730145553,0.189582132,2531.583135
1624.30599,22,97,10,39,0.517420433,2.09233482,0.762178197,0.099822917,1238.010611
1838.5573,16,42,8,31,0.224901383,1.70855175,0.649566479,0.278143021,1194.265192
2415.31015,27,88,7,41,4.14194266,3.55359004,0.85943082,0.155434305,2075.791983
2618.88441,27,41,11,28,1.05211033,4.11398835,0.553209911,0.191488697,1448.792811
2356.12227,20,80,12,30,0.964225603,0.947529546,0.638115224,0.048418948,1503.47749
3408.0652,27,93,3,36,1.52860912,3.01440447,0.715017926,0.062901095,2436.827711
2962.12607,31,51,11,49,3.90870473,0.58270036,0.861229916,0.111150122,2551.071586
2188.84281,29,77,11,30,4.16440585,0.599786958,0.827944173,0.060894964,1812.23965
2733.54918,32,31,9,21,0.31104741,2.89954405,0.564479413,0.139611544,1543.032237
1914.14865,29,40,7,38,0.445004417,1.60483635,0.811105871,0.090762524,1552.577208
3006.49866,29,67,16,44,1.0115621,2.83002609,0.637576667,0.24349087,1916.873395
1918.56932,27,82,12,34,3.8025839,3.11978007,0.875847619,0.192718682,1680.374371
1990.25351,26,98,8,37,1.48068768,1.86443496,0.853066101,0.111813447,1697.817802
2819.74037,33,49,9,16,1.44654544,2.8081728,0.866910637,0.19172364,2444.46292
2511.94475,27,59,7,22,0.403918272,2.00208174,0.690643232,0.089734578,1734.857641
1556.7068,32,38,13,27,4.21960464,0.488983542,0.61735857,0.15620717,961.046284
2472.27376,26,98,9,24,4.30024552,0.735478465,0.626431879,0.153784706,1548.711097
2600.30055,32,34,8,22,4.178086,0.757281972,0.864224059,0.059488072,2247.242296
1798.38067,29,76,7,15,3.83325867,4.2837441,0.678947721,0.047825854,1221.006457
2833.88295,15,64,9,40,0.495969881,2.52156536,0.554899823,0.159078325,1572.521147
2566.50977,24,74,7,29,0.176394744,4.0798395,0.820145839,0.215909467,2104.912309
2653.63211,27,78,7,49,4.12253803,0.308019679,0.726530944,0.126655249,1927.945842
1667.4861,25,45,7,13,0.407155457,4.52026583,0.585140385,0.13162223,975.7134585
1541.79545,28,83,7,18,2.6497842,0.842937611,0.732481361,0.109461939,1129.33643
2422.21633,24,66,9,22,4.02165789,1.06309356,0.554025637,0.284174158,1341.969945
2528.36267,21,81,12,30,3.24941895,2.41905159,0.617944206,0.046863677,1562.387063
2596.90626,26,39,5,13,0.836328696,0.163453,0.755929816,0.277058061,1963.078871
2325.27506,26,41,8,17,0.880830671,3.8009498,0.850911195,0.277481971,1978.60258
2525.63205,13,48,8,27,1.51000004,1.17486853,0.587209845,0.066190397,1483.076005
3284.87243,31,29,15,15,3.97523646,0.229475506,0.857486661,0.196356699,2816.734292
2324.49468,33,83,12,42,0.926123407,0.547471238,0.828195113,0.125089861,1925.135134
1714.97526,31,71,15,48,0.154118791,2.10632582,0.769888358,0.145600398,1320.339487
1803.82045,21,66,17,46,3.91981776,0.321835659,0.713023694,0.102273071,1286.166721
1972.19533,32,76,6,21,3.78184664,3.72068499,0.83089754,0.033918192,1638.692248
2388.24576,23,97,17,43,1.49717457,3.37004546,0.648992687,0.188678836,1549.954033
2735.50795,31,69,10,41,2.75628227,3.76620667,0.859663994,0.183666129,2351.61769
1734.5179,14,63,8,44,0.59096147,3.05733093,0.67579195,0.152868306,1172.173234
1917.28051,26,95,5,23,0.902750013,0.371594726,0.865825422,0.273117262,1660.030207
2201.2361,28,72,7,45,1.50690229,1.70391413,0.632682923,0.043061808,1392.68449
1628.8409,17,46,8,45,0.291611693,1.89220912,0.872947491,0.248946576,1421.892577
2758.35043,11,44,3,32,4.22424045,3.7218153,0.679259134,0.149820664,1873.634724
1653.70706,29,62,4,48,3.57097448,3.44691312,0.864673727,0.061926615,1429.917047
1638.15094,18,47,14,40,3.24174453,4.56395252,0.806632984,0.118129875,1321.386581
2311.50518,16,43,5,37,4.51230198,0.470005878,0.690494634,0.231811025,1596.081923
2822.59284,16,92,13,44,2.23508974,4.56153438,0.671918827,0.044669456,1896.55327
2874.61024,10,70,5,36,4.36144977,4.30003006,0.745547624,0.262975761,2143.158834
2506.49473,20,80,8,36,3.42542237,2.961488,0.65045463,0.225161272,1630.361102
2087.66049,24,74,4,24,2.774006,1.05949029,0.629551668,0.085108534,1314.290144
1939.66696,29,50,6,37,3.08196125,1.43885372,0.605726619,0.098108979,1174.90791
3012.04881,32,36,6,26,2.30703465,2.25180863,0.618166048,0.046455638,1861.946309
3316.18732,32,37,9,32,4.01196579,0.6347102,0.861074232,0.068595747,2855.48345
3422.90515,26,68,15,48,2.83818569,1.63153431,0.67720279,0.27176721,2318.000917
2640.58269,30,70,9,24,3.43661138,3.14519423,0.628883745,0.151378126,1660.619531
1624.0493,26,54,5,24,1.96271544,0.532197067,0.640381918,0.22757209,1040.011806
2635.51729,26,74,13,45,2.7223705,1.32778619,0.804587927,0.227284397,2120.505393
3148.37445,12,96,10,30,3.90446083,1.80408329,0.866544647,0.086614498,2728.207026
3066.44297,24,73,10,14,1.70946825,3.20920937,0.775917597,0.060219862,2379.307061
1665.52404,15,63,6,25,0.747095347,2.58428993,0.732299485,0.203348031,1219.662397
3300.63811,28,51,11,37,2.89112675,0.417399155,0.888523825,0.128238727,2932.695598
